ANT:1
B1:1
C1:1
C10:1
C11:1
C12:1
C13:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
H1:1
L1:1
R1:1
R2:1
REF**:4
RST:1
S1:1
U1:1
X1:1
X2:1
